RunDate,Service Provider,ConsentID or Water Group,Activity Number,Meters,Type,Limit,Max Use,Percent Over Limit,Date of Highest Overage,Date of Earliest Non-compliance,Date of Latest Non-compliance
19-Jan-2019,Boraman,CRC173182,CRC173182-1,I39/0023-M1,Take Rate,60.0 l/s,166.4 l/s,177.30%,16/01/2019 17:30,11/01/2019 0:00,18/01/2019 2:45
19-Jan-2019,Boraman,CRC173182,CRC173182-1,I39/0023-M1,Take Rate - Low Flow Ban,0 l/s,33.2 l/s,-,12/01/2019 3:45,11/01/2019 0:00,14/01/2019 22:45
19-Jan-2019,Boraman,CRC173182,CRC173182-1,I39/0023-M1,1 day Volume,5184.0 m3,14369.0 m3,177.20%,18/01/2019 0:00,17/01/2019 0:00,18/01/2019 0:00
19-Jan-2019,WaterCheck,CRC171901,CRC171901-1,N34/0351-M1,Take Rate,10.0 l/s,12.7 l/s,27.20%,14/01/2019 12:15,11/01/2019 0:00,15/01/2019 13:15
19-Jan-2019,,CRC171813,CRC171813-3,M36/2016-M1 + M36/7369-M1,Take Rate,45.2 l/s,53.5 l/s,18.30%,13/01/2019 16:00,13/01/2019 12:45,13/01/2019 16:45
19-Jan-2019,DataCol,CRC169673,CRC169673-1,BV24/0032-M1,Take Rate,100.0 l/s,105.0 l/s,5.00%,15/01/2019 11:30,15/01/2019 11:30,16/01/2019 8:00
19-Jan-2019,DataCol,CRC169596,CRC169596-1,N33/0266-M1,Take Rate,32.0 l/s,36.3 l/s,13.30%,8/01/2019 13:15,8/01/2019 13:00,17/01/2019 14:45
19-Jan-2019,WaterCheck,CRC164729,CRC164729-1,L35/0986-M1 + L35/0987-M1,Take Rate,19.0 l/s,23.1 l/s,21.30%,13/01/2019 11:30,10/01/2019 16:00,18/01/2019 0:00
19-Jan-2019,WaterCheck,CRC164619,CRC164619-1,M35/2601-M1,Take Rate,10.6 l/s,11.7 l/s,10.30%,11/01/2019 2:15,11/01/2019 0:00,11/01/2019 3:30
19-Jan-2019,DataCol,CRC164250,CRC164250-1,BY20/0107-M1,Take Rate,34.7 l/s,38.2 l/s,10.10%,12/01/2019 19:00,10/01/2019 2:15,15/01/2019 5:45
19-Jan-2019,Boraman,CRC163590,CRC163590-1,BZ19/0001-M1,1 day Volume,52.0 m3,117.8 m3,126.50%,17/01/2019 0:00,12/01/2019 0:00,18/01/2019 0:00
19-Jan-2019,DataCol,CRC163370,CRC163370-1,L36/1900-M1,Take Rate,42.0 l/s,48.8 l/s,16.10%,11/01/2019 0:15,11/01/2019 0:00,12/01/2019 21:45
